Timestamp,Motor 1 Power,Motor 2 Power,Motor 3 Power,Motor 4 Power,Motor 5 Power,Motor 6 Power,Motor 7 Power,Motor 8 Power,Motor 9 Power,Motor 10 Power,Motor 11 Power,Motor 12 Power,Motor 1 Torque,Motor 2 Torque,Motor 3 Torque,Motor 4 Torque,Motor 5 Torque,Motor 6 Torque,Motor 7 Torque,Motor 8 Torque,Motor 9 Torque,Motor 10 Torque,Motor 11 Torque,Motor 12 Torque,Motor 1 Velocity,Motor 2 Velocity,Motor 3 Velocity,Motor 4 Velocity,Motor 5 Velocity,Motor 6 Velocity,Motor 7 Velocity,Motor 8 Velocity,Motor 9 Velocity,Motor 10 Velocity,Motor 11 Velocity,Motor 12 Velocity,Battery Voltage
27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0012,-0.1816,0.0720,0.1133,0.0064,-0.0113,0.0091,0.0124,0.0153,0.1442,-0.2007,-0.0314,0.0066,-0.0117,-0.0045,-0.0093,0.0045,0.0026,-0.0028,0.0022,0.0071,-0.0234,0.0087,-0.0057,23.4167
28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0053,-0.1856,0.0756,0.1110,0.0060,-0.0107,0.0063,0.0110,0.0077,0.1399,-0.1871,-0.0371,-0.0078,-0.0096,0.0030,-0.0071,-0.0118,-0.0106,-0.0101,0.0058,-0.0030,-0.0106,0.0064,0.0087,23.5000
29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0020,-0.1822,0.0701,0.1137,0.0077,-0.0090,0.0051,0.0113,0.0105,0.1460,-0.1956,-0.0334,0.0025,-0.0037,0.0302,-0.0080,0.0003,0.0139,-0.0086,-0.0083,-0.0081,0.0125,0.0039,-0.0180,23.4167
30,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0058,-0.1856,0.0710,0.1133,0.0072,-0.0117,0.0069,0.0128,0.0125,0.1462,-0.1981,-0.0314,-0.0170,-0.0012,-0.0116,-0.0105,0.0075,-0.0105,-0.0033,-0.0003,0.0035,0.0093,-0.0063,0.0026,23.3750
31,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0035,-0.1821,0.0699,0.1118,0.0065,-0.0106,0.0052,0.0124,0.0106,0.1439,-0.1988,-0.0293,0.0012,0.0078,-0.0172,-0.0090,-0.0095,0.0107,0.0056,-0.0108,-0.0014,0.0113,-0.0034,-0.0016,23.3750
32,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0042,-0.1841,0.0667,0.1095,-0.0012,-0.0095,0.0052,0.0135,0.0100,0.1432,-0.1987,-0.0284,0.0096,-0.0028,-0.0049,-0.0161,-0.0009,-0.0054,-0.0084,0.0046,0.0048,-0.0080,0.0073,0.0095,23.3750
33,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0076,-0.1825,0.0697,0.1103,0.0071,-0.0090,0.0069,0.0104,0.0129,0.1440,-0.2023,-0.0305,-0.0146,-0.0129,-0.0220,0.0269,-0.0078,0.0083,0.0013,0.0060,-0.0022,0.0054,-0.0014,0.0145,23.3750
34,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0027,-0.1803,0.0687,0.1093,0.0033,-0.0075,0.0058,0.0132,0.0129,0.1443,-0.1983,-0.0302,-0.0040,0.0036,-0.0029,0.0053,-0.0104,0.0036,-0.0051,0.0045,-0.0072,-0.0060,0.0154,-0.0041,23.3750
35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0015,-0.1838,0.0662,0.1123,0.0083,-0.0093,0.0046,0.0132,0.0128,0.1460,-0.1999,-0.0273,-0.0036,0.0183,-0.0060,-0.0021,-0.0122,-0.0050,-0.0154,-0.0014,-0.0042,-0.0185,0.0288,-0.0020,23.3333
36,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-0.0076,-0.1783,0.0616,0.1087,0.0006,-0.0084,0.0049,0.0148,0.0187,0.1442,-0.2027,-0.0253,-0.0116,-0.0090,-0.0007,0.0127,0.0018,0.0049,0.0088,0.0080,-0.0020,-0.0021,0.0148,0.0016,23.3750
